Species,Longitude,Latitude
Spea_hammondii_S,-115.60912,30.12889
Spea_hammondii_S,-115.7598804,30.19903187
Spea_hammondii_S,-115.95,30.768333
Spea_hammondii_S,-115.9505578,30.76841262
Spea_hammondii_S,-115.7333333,30.96666667
Spea_hammondii_S,-116.2016667,31.067222
Spea_hammondii_S,-116.202236,31.06729115
Spea_hammondii_S,-116.15,31.11666667
Spea_hammondii_S,-115.8375,31.57472
Spea_hammondii_S,-115.8375,31.574722
Spea_hammondii_S,-115.8752778,31.588889
Spea_hammondii_S,-115.87528,31.58889
Spea_hammondii_S,-116.661667,31.718333
Spea_hammondii_S,-116.5844444,31.818889
Spea_hammondii_S,-116.6183333,31.866667
Spea_hammondii_S,-116.76325,31.96559
Spea_hammondii_S,-116.58838,32.50304
Spea_hammondii_S,-116.59587,32.50397
Spea_hammondii_S,-117.0960999,32.54111862
Spea_hammondii_S,-117.0961,32.54112
Spea_hammondii_S,-117.0040333,32.5517
Spea_hammondii_S,-117.00403,32.5517
Spea_hammondii_S,-117.0040283,32.55170059
Spea_hammondii_S,-117.00255,32.55306
Spea_hammondii_S,-117.0175171,32.55342865
Spea_hammondii_S,-117.01752,32.55343
Spea_hammondii_S,-117.0175167,32.55343333
Spea_hammondii_S,-117.0464096,32.55574036
Spea_hammondii_S,-116.77222,32.56694
Spea_hammondii_S,-116.7722168,32.56694031
Spea_hammondii_S,-116.7722222,32.56694444
Spea_hammondii_S,-116.758,32.57291667
Spea_hammondii_S,-116.758,32.57292
Spea_hammondii_S,-116.7580032,32.57292175
Spea_hammondii_S,-116.1839981,32.61199951
Spea_hammondii_S,-116.184,32.612
Spea_hammondii_S,-116.7565446,32.61610917
Spea_hammondii_S,-116.75654,32.61611
Spea_hammondii_S,-116.7565384,32.61611176
Spea_hammondii_S,-116.32,32.62
Spea_hammondii_S,-116.3225201,32.6222862
Spea_hammondii_S,-116.3231049,32.62231064
Spea_hammondii_S,-116.3231024,32.62231115
Spea_hammondii_S,-116.3233708,32.62234747
Spea_hammondii_S,-117.1388397,32.62337875
Spea_hammondii_S,-116.77595,32.62487
Spea_hammondii_S,-116.872,32.6346
Spea_hammondii_S,-116.8720016,32.63460159
Spea_hammondii_S,-116.9291992,32.63774872
Spea_hammondii_S,-116.9292,32.63775
Spea_hammondii_S,-116.87106,32.64368
Spea_hammondii_S,-116.8354267,32.6448278
Spea_hammondii_S,-116.8354263,32.6448288
Spea_hammondii_S,-116.83543,32.64483
Spea_hammondii_S,-116.7693634,32.64506912
Spea_hammondii_S,-116.76936,32.64507
Spea_hammondii_S,-116.7693578,32.64507328
Spea_hammondii_S,-116.32,32.65
Spea_hammondii_S,-116.3199997,32.65000153
Spea_hammondii_S,-116.8628,32.65031
Spea_hammondii_S,-116.8628006,32.65031052
Spea_hammondii_S,-116.8077393,32.65592957
Spea_hammondii_S,-116.80774,32.65593
Spea_hammondii_S,-116.8077389,32.65593056
Spea_hammondii_S,-116.932302,32.656482
Spea_hammondii_S,-116.9380875,32.65713882
Spea_hammondii_S,-116.93809,32.65714
Spea_hammondii_S,-116.93437,32.6576
Spea_hammondii_S,-116.9343667,32.6576
Spea_hammondii_S,-116.8189,32.65855
Spea_hammondii_S,-116.8188987,32.65855023
Spea_hammondii_S,-116.8189011,32.65855026
Spea_hammondii_S,-116.2600021,32.65999985
Spea_hammondii_S,-116.26,32.66
Spea_hammondii_S,-116.2706627,32.6627501
Spea_hammondii_S,-116.2712402,32.66276932
Spea_hammondii_S,-116.2712415,32.66277026
Spea_hammondii_S,-116.9308014,32.66279984
Spea_hammondii_S,-116.9308,32.6628
Spea_hammondii_S,-116.2715139,32.66281022
Spea_hammondii_S,-116.7996979,32.66809845
Spea_hammondii_S,-116.7997,32.6681
Spea_hammondii_S,-116.8003998,32.66859818
Spea_hammondii_S,-116.8004,32.6686
Spea_hammondii_S,-116.8039,32.67147
Spea_hammondii_S,-116.8039017,32.67147064
Spea_hammondii_S,-116.8575611,32.67805
Spea_hammondii_S,-116.85756,32.67805
Spea_hammondii_S,-116.8575592,32.67805099
Spea_hammondii_S,-116.8403015,32.68009949
Spea_hammondii_S,-116.8403,32.6801
Spea_hammondii_S,-117.0598907,32.68341827
Spea_hammondii_S,-117.05989,32.68342
Spea_hammondii_S,-116.8460007,32.68439865
Spea_hammondii_S,-116.846,32.6844
Spea_hammondii_S,-116.8378,32.6856
Spea_hammondii_S,-116.8377991,32.68560028
Spea_hammondii_S,-116.8538589,32.6862793
Spea_hammondii_S,-116.85386,32.68628
Spea_hammondii_S,-116.8538611,32.68628056
Spea_hammondii_S,-116.8573,32.6934
Spea_hammondii_S,-116.8572998,32.69340134
Spea_hammondii_S,-116.8596,32.6957
Spea_hammondii_S,-116.8595963,32.6957016
Spea_hammondii_S,-116.6660686,32.70098941
Spea_hammondii_S,-116.66607,32.70099
Spea_hammondii_S,-116.8659431,32.70375694
Spea_hammondii_S,-116.866539,32.7037735
Spea_hammondii_S,-116.8665356,32.70377513
Spea_hammondii_S,-116.8667995,32.70381184
Spea_hammondii_S,-116.80227,32.71186
Spea_hammondii_S,-116.802269,32.71186066
Spea_hammondii_S,-116.8022688,32.7118632
Spea_hammondii_S,-116.7819,32.72055
Spea_hammondii_S,-116.7818985,32.72055054
Spea_hammondii_S,-116.7818978,32.72055334
Spea_hammondii_S,-116.66921,32.73593
Spea_hammondii_S,-116.6692123,32.7359314
Spea_hammondii_S,-116.6692106,32.73593284
Spea_hammondii_S,-117.03284,32.75921
Spea_hammondii_S,-116.3199997,32.75999832
Spea_hammondii_S,-116.32,32.76
Spea_hammondii_S,-116.7628517,32.76088668
Spea_hammondii_S,-116.76285,32.76089
Spea_hammondii_S,-116.7628479,32.76089096
Spea_hammondii_S,-117.1925507,32.76160049
Spea_hammondii_S,-116.8515091,32.76826859
Spea_hammondii_S,-116.85151,32.76827
Spea_hammondii_S,-116.8515115,32.76827444
Spea_hammondii_S,-116.7978363,32.77088928
Spea_hammondii_S,-116.79784,32.77089
Spea_hammondii_S,-116.7821442,32.77121631
Spea_hammondii_S,-116.78214,32.77122
Spea_hammondii_S,-116.74032,32.7736
Spea_hammondii_S,-116.7403209,32.77360145
Spea_hammondii_S,-116.7403183,32.77360153
Spea_hammondii_S,-116.70733,32.77856
Spea_hammondii_S,-116.7073288,32.77856064
Spea_hammondii_S,-116.7073311,32.77856124
Spea_hammondii_S,-117.11057,32.78496
Spea_hammondii_S,-117.1147919,32.78652954
Spea_hammondii_S,-117.11479,32.78653
Spea_hammondii_S,-117.1147889,32.78653056
Spea_hammondii_S,-116.7512665,32.82099915
Spea_hammondii_S,-117.055,32.821
Spea_hammondii_S,-116.75127,32.821
Spea_hammondii_S,-116.7512667,32.821
Spea_hammondii_S,-117.07085,32.82286667
Spea_hammondii_S,-117.0708466,32.82286835
Spea_hammondii_S,-117.07085,32.82287
Spea_hammondii_S,-116.335,32.82444
Spea_hammondii_S,-116.3349991,32.82444
Spea_hammondii_S,-116.335,32.82444444
Spea_hammondii_S,-116.7730553,32.8268413
Spea_hammondii_S,-116.7736511,32.82685089
Spea_hammondii_S,-116.7736546,32.82685202
Spea_hammondii_S,-116.7739107,32.82689358
Spea_hammondii_S,-116.9165268,32.83251953
Spea_hammondii_S,-116.91653,32.83252
Spea_hammondii_S,-117.0712667,32.83586667
Spea_hammondii_S,-117.0712738,32.83586884
Spea_hammondii_S,-117.07127,32.83587
Spea_hammondii_S,-117.0711517,32.83597946
Spea_hammondii_S,-117.07115,32.83598
Spea_hammondii_S,-117.07115,32.83598333
Spea_hammondii_S,-116.8053589,32.84046936
Spea_hammondii_S,-116.80536,32.84047
Spea_hammondii_S,-116.8053605,32.84047063
Spea_hammondii_S,-116.79861,32.84083
Spea_hammondii_S,-116.7986069,32.84083176
Spea_hammondii_S,-116.7986111,32.84083333
Spea_hammondii_S,-116.83052,32.84506
Spea_hammondii_S,-116.8305172,32.84506198
Spea_hammondii_S,-117.03432,32.84688
Spea_hammondii_S,-117.0343167,32.84688333
Spea_hammondii_S,-117.20088,32.85466
Spea_hammondii_S,-116.9213867,32.8572197
Spea_hammondii_S,-116.9213889,32.85722222
Spea_hammondii_S,-117.22921,32.87211
Spea_hammondii_S,-116.86536,32.876
Spea_hammondii_S,-116.8653,32.876
Spea_hammondii_S,-116.8152,32.88262
Spea_hammondii_S,-116.85164,32.88599
Spea_hammondii_S,-116.83067,32.8876
Spea_hammondii_S,-116.98962,32.89526
Spea_hammondii_S,-116.93768,32.90158
Spea_hammondii_S,-116.9376831,32.90158081
Spea_hammondii_S,-117.2147293,32.93259811
Spea_hammondii_S,-117.2147333,32.9326
Spea_hammondii_S,-117.21473,32.9326
Spea_hammondii_S,-117.13771,32.94018
Spea_hammondii_S,-117.21838,32.94024
Spea_hammondii_S,-117.1637167,32.94551667
Spea_hammondii_S,-117.1637192,32.94551849
Spea_hammondii_S,-117.16372,32.94552
Spea_hammondii_S,-117.1609268,32.94607925
Spea_hammondii_S,-117.16093,32.94608
Spea_hammondii_S,-117.1609333,32.94608333
Spea_hammondii_S,-117.15688,32.94738
Spea_hammondii_S,-117.1568833,32.94738333
Spea_hammondii_S,-117.2059709,32.9669778
Spea_hammondii_S,-117.2065735,32.9669838
Spea_hammondii_S,-117.2065758,32.96698496
Spea_hammondii_S,-117.2068396,32.96702263
Spea_hammondii_S,-117.2316011,32.9703625
Spea_hammondii_S,-117.2324704,32.97040716
Spea_hammondii_S,-116.83183,32.98325
Spea_hammondii_S,-116.7761154,33.02360535
Spea_hammondii_S,-116.8303658,33.02540866
Spea_hammondii_S,-116.83037,33.02541
Spea_hammondii_S,-116.83821,33.04977
Spea_hammondii_S,-116.8382111,33.04977036
Spea_hammondii_S,-117.0575,33.0526
Spea_hammondii_S,-117.0575027,33.05260086
Spea_hammondii_S,-116.73583,33.05567
Spea_hammondii_S,-116.7358296,33.05567045
Spea_hammondii_S,-116.97512,33.0609
Spea_hammondii_S,-116.9757233,33.06090546
Spea_hammondii_S,-116.975983,33.06094269
Spea_hammondii_S,-117.1841,33.09635
Spea_hammondii_S,-117.1840973,33.09635162
Spea_hammondii_S,-117.282634,33.10050964
Spea_hammondii_S,-117.18116,33.10504
Spea_hammondii_S,-117.18116,33.1050415
Spea_hammondii_S,-117.0450516,33.1073494
Spea_hammondii_S,-117.04505,33.10735
Spea_hammondii_S,-117.14026,33.15124
Spea_hammondii_S,-117.1402588,33.1512413
Spea_hammondii_S,-117.03072,33.16043
Spea_hammondii_S,-117.0307236,33.16043091
Spea_hammondii_S,-117.12495,33.19586
Spea_hammondii_S,-117.1249466,33.19586182
Spea_hammondii_S,-116.95232,33.2321
Spea_hammondii_S,-116.9523163,33.23210144
Spea_hammondii_S,-116.6610265,33.24042414
